ID_event,Year,Month,TimeStep,Lat,Lon,Vmax_ms,RMW_km,category,r_km,source,geometry
08394,83,9,1.0,12.2,325.4,19.6,104.709233357,0,2936.3296179824924,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (325.4 12.2)
08394,83,9,2.0,12.2,324.6,21.5,98.2984639681,0,2851.254757447431,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (324.6 12.2)
08394,83,9,3.0,12.2,323.7,25.5,91.8876945789,0,2755.6110579220385,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (323.7 12.2)
08394,83,9,4.0,12.3,322.8,30.3,85.4769251897,0,2657.6587664081353,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (322.8 12.3)
08394,83,9,5.0,12.3,321.8,35.2,79.0661558005,1,2551.5266768707743,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (321.8 12.3)
08394,83,9,6.0,12.3,320.9,38.8,72.6553864112,1,2456.109245582415,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (320.9 12.3)
08394,83,9,7.0,12.3,320.0,41.8,66.244617022,1,2360.8017071858567,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (320 12.3)
08394,83,9,8.0,12.3,319.2,46.0,59.833847632799994,2,2276.1886219553326,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (319.2 12.3)
08394,83,9,9.0,12.4,318.4,49.9,53.4230782435,3,2189.0659105057966,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (318.4 12.4)
08394,83,9,10.0,12.5,317.6,53.1,47.0123088543,3,2101.9865749856494,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (317.6 12.5)
08394,83,9,11.0,12.6,316.8,56.7,40.601539465100004,3,2014.9529829347584,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (316.8 12.6)
08394,83,9,12.0,12.6,316.0,59.0,34.190770075900005,4,1930.6410991627367,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (316 12.6)
